customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,Cuentas_Diarias,account.Charges.Total
0042-RLHYP,no,female,0,yes,yes,69,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),19.7,0.66,1396.9
0048-LUMLS,no,male,0,yes,yes,37,yes,no,fiber optic,no,no,no,no,yes,yes,one year,no,credit card (automatic),91.2,3.04,3247.55
0048-PIHNL,no,female,0,yes,no,49,yes,no,no,no,no,no,no,no,no,one year,no,bank transfer (automatic),20.45,0.68,900.9
0052-DCKON,no,male,0,yes,no,66,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,bank transfer (automatic),115.8,3.86,7942.15
0052-YNYOT,no,female,0,no,no,67,yes,no,no,no,no,no,no,no,no,one year,no,electronic check,20.55,0.68,1343.4
0056-EPFBG,no,male,0,yes,yes,20,no,no,dsl,yes,no,yes,yes,no,no,two year,yes,credit card (automatic),39.4,1.31,825.4
0057-QBUQH,no,female,0,no,yes,43,yes,yes,no,no,no,no,no,no,no,two year,yes,electronic check,25.1,0.84,1070.15
0058-EVZWM,no,female,0,yes,no,55,yes,yes,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.8,2.99,4959.6
0060-FUALY,no,female,0,yes,no,59,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,94.75,3.16,5597.65
0064-SUDOG,no,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),20.3,0.68,224.5
0064-YIJGF,no,male,0,yes,yes,27,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.75,2.52,1929.0
0067-DKWBL,yes,male,1,no,no,2,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,49.25,1.64,91.1
0068-FIGTF,no,female,0,no,no,27,yes,no,dsl,no,yes,yes,yes,yes,yes,one year,no,mailed check,78.2,2.61,2078.95
0071-NDAFP,no,male,0,yes,yes,25,yes,yes,no,no,no,no,no,no,no,two year,no,credit card (automatic),25.5,0.85,630.6
0074-HDKDG,no,male,0,yes,yes,25,yes,no,dsl,yes,yes,yes,no,no,no,one year,yes,bank transfer (automatic),61.6,2.05,1611.0
0076-LVEPS,no,male,0,no,yes,29,no,no,dsl,yes,yes,yes,yes,no,no,month-to-month,yes,mailed check,45.0,1.5,1242.45
0078-XZMHT,no,male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),85.15,2.84,6316.2
0080-EMYVY,no,female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),51.45,1.72,727.85
0080-OROZO,no,female,0,no,no,35,yes,no,fiber optic,no,no,yes,yes,yes,yes,one year,yes,electronic check,99.25,3.31,3532.0
0082-LDZUE,no,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,mailed check,44.3,1.48,44.3
0082-OQIQY,no,male,0,no,no,29,yes,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,94.2,3.14,2607.6
0083-PIVIK,no,male,0,no,no,64,yes,yes,dsl,yes,yes,yes,yes,yes,no,one year,no,electronic check,81.25,2.71,5567.55
0089-IIQKO,no,female,0,yes,yes,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),99.95,3.33,3767.4
0093-EXYQL,no,female,1,no,no,40,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,91.55,3.05,3673.6
0093-XWZFY,yes,male,0,no,no,40,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),104.5,3.48,4036.85
0094-OIFMO,yes,female,1,no,no,11,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,95.0,3.17,1120.3
0096-BXERS,no,female,0,yes,no,6,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,50.35,1.68,314.55
0096-FCPUF,no,male,0,no,no,30,yes,yes,dsl,yes,no,no,no,no,yes,month-to-month,yes,mailed check,64.5,2.15,1888.45
0098-BOWSO,no,male,0,no,no,27,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,19.4,0.65,529.8
0100-DUVFC,no,male,1,yes,no,70,yes,yes,fiber optic,no,yes,yes,no,yes,yes,one year,yes,electronic check,104.8,3.49,7308.95
0103-CSITQ,no,female,0,yes,no,57,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),109.4,3.65,6252.7
0104-PPXDV,no,male,0,yes,no,58,yes,no,dsl,no,no,yes,no,no,no,one year,no,credit card (automatic),50.3,1.68,2878.55
0106-GHRQR,no,male,0,no,no,16,yes,yes,dsl,no,yes,yes,no,no,yes,month-to-month,yes,bank transfer (automatic),71.4,2.38,1212.1
0106-UGRDO,no,female,0,yes,no,69,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,116.0,3.87,8182.85
0107-WESLM,yes,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,19.85,0.66,19.85
0107-YHINA,yes,male,0,no,yes,1,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.75,3.32,99.75
0111-KLBQG,no,male,1,yes,yes,32,yes,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,mailed check,93.95,3.13,2861.45
0112-QAWRZ,no,male,0,yes,yes,16,yes,yes,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,bank transfer (automatic),90.8,3.03,1442.2
0112-QWPNC,yes,male,0,yes,no,49,yes,yes,dsl,yes,no,yes,yes,yes,yes,one year,no,electronic check,84.35,2.81,4059.35
0114-IGABW,no,female,0,yes,no,71,no,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),58.25,1.94,4145.9
0114-PEGZZ,no,female,0,no,no,33,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic check,107.55,3.58,3645.5
0114-RSRRW,no,female,0,yes,no,10,yes,no,no,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),19.95,0.66,187.75
0115-TFERT,yes,male,0,yes,no,21,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,111.2,3.71,2317.1
0117-LFRMW,yes,male,0,yes,yes,37,no,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),40.2,1.34,1448.8
0118-JPNOY,no,female,1,no,no,26,yes,no,fiber optic,yes,no,no,no,yes,no,month-to-month,yes,credit card (automatic),85.8,2.86,2193.65
0121-SNYRK,no,male,0,no,no,50,no,no,dsl,yes,no,no,yes,no,no,one year,yes,mailed check,35.4,1.18,1748.9
0122-OAHPZ,yes,female,0,no,no,7,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,73.85,2.46,511.25
0123-CRBRT,no,female,0,yes,yes,61,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,mailed check,88.1,2.94,5526.75
0125-LZQXK,yes,male,0,no,no,15,yes,no,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,101.35,3.38,1553.95
0128-MKWSG,no,female,0,no,yes,26,no,no,dsl,yes,no,no,yes,no,yes,month-to-month,no,mailed check,45.8,1.53,1147.0
0129-KPTWJ,no,male,0,yes,no,72,yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,94.65,3.16,6747.35
0129-QMPDR,no,male,0,yes,yes,44,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer (automatic),20.5,0.68,865.05
0130-SXOUN,no,male,0,no,no,66,yes,yes,fiber optic,no,yes,no,no,no,yes,month-to-month,no,credit card (automatic),89.4,2.98,5976.9
0133-BMFZO,yes,female,0,no,no,2,yes,no,fiber optic,yes,yes,no,yes,no,no,month-to-month,yes,electronic check,86.25,2.88,181.65
0134-XWXCE,no,female,1,no,no,44,yes,no,dsl,no,no,yes,yes,yes,yes,one year,no,bank transfer (automatic),74.85,2.49,3268.05
0135-NMXAP,yes,female,0,no,no,12,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,yes,bank transfer (automatic),89.75,2.99,1052.4
0136-IFMYD,no,male,1,yes,no,69,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,electronic check,109.95,3.66,7634.25
0137-OCGAB,yes,female,0,no,no,1,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,mailed check,80.2,2.67,80.2
0137-UDEUO,yes,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.85,0.66,63.75
0139-IVFJG,no,female,0,yes,no,2,yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,no,electronic check,90.35,3.01,190.5
0141-YEAYS,no,female,1,no,no,27,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),86.45,2.88,2401.05
0142-GVYSN,no,male,0,no,no,26,yes,no,no,no,no,no,no,no,no,month-to-month,yes,electronic check,20.3,0.68,511.25
0147-ESWWR,no,female,1,yes,no,39,yes,yes,fiber optic,no,no,no,yes,yes,yes,month-to-month,yes,electronic check,101.25,3.38,3949.15
0148-DCDOS,yes,male,0,no,no,25,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,bank transfer (automatic),94.7,3.16,2362.1
0151-ONTOV,yes,female,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,no,mailed check,70.9,2.36,70.9
0156-FVPTA,yes,male,0,yes,no,22,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,yes,electronic check,54.2,1.81,1152.7
0164-APGRB,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,114.9,3.83,8496.7
0164-XAIRP,no,female,0,no,no,24,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer (automatic),19.55,0.65,470.2
0168-XZKBB,no,female,0,yes,no,19,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,86.85,2.9,1564.4
0174-QRVVY,no,male,0,yes,yes,71,yes,yes,no,no,no,no,no,no,no,two year,no,credit card (automatic),25.35,0.85,1847.55
0177-PXBAT,no,male,1,yes,no,33,yes,yes,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.9,3.66,3694.7
0178-CIIKR,no,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.95,0.66,58.0
0178-SZBHO,no,male,0,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,no,electronic check,87.2,2.91,4017.45
0181-RITDD,no,male,0,yes,yes,62,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,no,mailed check,108.15,3.6,6825.65
0186-CAERR,no,male,0,no,no,71,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),116.3,3.88,8309.55
0187-QSXOE,no,male,1,yes,no,7,yes,no,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,89.0,2.97,605.45
0187-WZNAB,no,female,0,yes,yes,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,mailed check,74.4,2.48,1972.35
0188-GWFLE,no,male,0,no,no,2,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,20.05,0.67,33.7
0191-EQUUH,no,female,0,no,yes,25,no,no,dsl,yes,no,no,yes,no,no,two year,no,bank transfer (automatic),35.05,1.17,844.45
0191-ZHSKZ,no,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,yes,electronic check,74.75,2.49,2111.3
0193-ESZXP,yes,female,1,yes,no,58,yes,no,fiber optic,yes,yes,no,yes,yes,yes,one year,yes,credit card (automatic),105.5,3.52,6205.5
0195-IESCP,yes,male,0,yes,no,10,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,85.25,2.84,855.3
0196-JTUQI,no,female,0,no,no,9,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,credit card (automatic),75.2,2.51,633.85
0196-VULGZ,yes,female,1,yes,no,6,yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,84.35,2.81,474.9
0197-PNKNK,no,female,0,yes,yes,69,yes,yes,fiber optic,yes,no,yes,no,no,no,one year,no,bank transfer (automatic),84.45,2.82,5848.6
0201-MIBOL,no,female,1,no,no,66,yes,yes,fiber optic,yes,no,no,no,yes,yes,two year,yes,bank transfer (automatic),102.4,3.41,6471.85
0201-OAMXR,yes,female,0,no,no,70,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,no,credit card (automatic),115.55,3.85,8127.6
0203-HHYIJ,yes,male,0,no,no,25,yes,yes,no,no,no,no,no,no,no,one year,no,bank transfer (automatic),25.3,0.84,676.35
0206-OYVOC,no,female,0,yes,yes,46,yes,no,no,no,no,no,no,no,no,two year,yes,mailed check,19.25,0.64,864.2
0206-TBWLC,no,female,0,yes,no,54,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,one year,yes,mailed check,114.65,3.82,6049.5
0207-MDKNV,yes,female,0,no,no,15,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,no,electronic check,105.1,3.5,1582.75
0208-BPQEJ,no,female,0,yes,yes,12,yes,no,no,no,no,no,no,no,no,month-to-month,no,bank transfer (automatic),19.4,0.65,198.1
0212-ISBBF,no,female,0,no,no,22,no,no,dsl,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,50.35,1.68,1098.85
0214-JHPFW,no,female,0,yes,no,70,no,no,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),57.8,1.93,4039.3
0215-BQKGS,no,male,0,no,no,30,yes,no,fiber optic,yes,yes,yes,no,no,no,month-to-month,yes,credit card (automatic),84.3,2.81,2438.6
0218-QNVAS,no,male,0,yes,yes,71,yes,yes,fiber optic,no,yes,no,no,yes,yes,one year,no,bank transfer (automatic),100.55,3.35,7113.75
0219-QAERP,no,male,0,yes,no,30,yes,no,no,no,no,no,no,no,no,one year,no,credit card (automatic),19.8,0.66,576.65
0219-YTZUE,yes,male,0,yes,yes,4,yes,yes,fiber optic,no,yes,yes,no,no,no,month-to-month,yes,bank transfer (automatic),84.8,2.83,371.9
0220-EBGCE,yes,male,0,no,no,2,yes,no,fiber optic,no,no,yes,no,no,yes,month-to-month,yes,electronic check,85.85,2.86,167.3
0221-NAUXK,no,male,0,no,yes,10,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer (automatic),19.95,0.66,219.5
0221-WMXNQ,no,male,1,no,no,4,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,75.35,2.51,273.4
0222-CNVPT,no,male,1,no,no,52,no,no,dsl,yes,no,no,no,yes,yes,month-to-month,yes,credit card (automatic),48.8,1.63,2555.05
0224-HJAPT,yes,male,0,no,no,5,yes,yes,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,47.15,1.57,223.15
0224-NIJLP,no,male,0,yes,yes,8,yes,no,no,no,no,no,no,no,no,two year,no,mailed check,20.15,0.67,165.5
0224-RLWWD,no,female,1,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,44.3,1.48,89.3
0225-ZORZP,no,male,0,no,no,3,yes,no,fiber optic,no,yes,no,no,no,yes,month-to-month,no,electronic check,84.3,2.81,235.05
0228-MAUWC,no,male,0,no,no,19,yes,yes,dsl,no,no,yes,yes,no,no,month-to-month,no,electronic check,59.55,1.98,1144.6
0229-LFJAF,no,male,0,no,no,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.65,2.32,4908.25
0230-UBYPQ,no,male,1,yes,no,63,no,no,dsl,yes,no,no,yes,no,no,one year,no,bank transfer (automatic),36.1,1.2,2298.9
0230-WEQUW,no,male,0,yes,no,66,no,no,dsl,yes,yes,yes,yes,yes,no,two year,yes,bank transfer (automatic),56.6,1.89,3789.2
0231-LXVAP,yes,male,0,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,yes,electronic check,75.9,2.53,75.9
0233-FTHAV,no,female,0,no,no,60,yes,yes,fiber optic,no,no,yes,no,no,no,one year,yes,bank transfer (automatic),79.2,2.64,4765.0
0234-TEVTT,no,female,0,yes,yes,48,no,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),45.0,1.5,2196.3
0235-KGSLC,yes,female,0,no,no,1,yes,no,fiber optic,no,no,yes,no,yes,no,month-to-month,yes,credit card (automatic),85.55,2.85,85.55
0236-HFWSV,yes,male,0,no,no,15,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,93.35,3.11,1444.65
0237-YFUTL,no,female,0,yes,no,50,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,month-to-month,yes,bank transfer (automatic),109.65,3.66,5405.8
0238-WHBIQ,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,credit card (automatic),89.7,2.99,6339.3
0239-OXEXL,no,female,0,no,no,46,yes,yes,fiber optic,yes,yes,no,no,no,no,month-to-month,no,mailed check,84.25,2.81,3847.6
0244-LGNFY,no,female,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,no,bank transfer (automatic),92.65,3.09,6733.0
0247-SLUJI,no,male,0,yes,yes,1,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.7,0.66,19.7
0248-IPDFW,no,female,0,no,no,1,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,50.1,1.67,50.1
0248-PGHBZ,no,female,1,no,no,67,yes,no,fiber optic,yes,yes,no,yes,yes,no,two year,yes,bank transfer (automatic),92.45,3.08,6140.85
0253-ZTEOB,no,female,0,yes,yes,48,yes,yes,dsl,no,yes,no,yes,yes,yes,two year,no,electronic check,79.65,2.66,3870.3
0254-FNMCI,no,female,0,no,no,72,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,electronic check,109.9,3.66,7624.2
0254-KCJGT,no,male,0,yes,no,52,yes,yes,dsl,yes,yes,yes,yes,no,yes,one year,yes,credit card (automatic),81.4,2.71,4354.45
0254-WWRKD,no,female,0,yes,yes,67,yes,no,dsl,no,yes,no,no,no,no,one year,no,credit card (automatic),50.55,1.68,3431.75
0256-LTHVJ,yes,female,0,yes,yes,28,yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,yes,electronic check,81.05,2.7,2227.1
0257-KXZGU,no,female,0,yes,yes,32,yes,yes,dsl,no,yes,yes,no,no,no,month-to-month,no,bank transfer (automatic),62.45,2.08,2045.55
0257-ZESQC,yes,female,1,yes,no,27,yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),75.2,2.51,1929.35
0258-NOKBL,no,male,0,no,no,3,yes,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,no,electronic check,90.4,3.01,268.45
0259-GBZSH,yes,male,0,no,no,2,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,85.65,2.86,181.5
0260-ZDLGK,yes,female,0,no,yes,9,yes,no,dsl,no,no,yes,yes,yes,yes,month-to-month,yes,mailed check,72.9,2.43,651.4
0263-FJTQO,no,male,0,yes,yes,50,yes,yes,dsl,yes,no,no,yes,yes,no,two year,yes,credit card (automatic),70.5,2.35,3486.65
0264-CNITK,no,female,0,yes,yes,71,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer (automatic),20.1,0.67,1389.6
0265-EDXBD,yes,male,1,yes,no,32,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.9,2.5,2303.35
0265-PSUAE,no,female,0,yes,yes,16,yes,no,fiber optic,yes,no,yes,no,yes,yes,month-to-month,no,bank transfer (automatic),100.7,3.36,1522.7
0266-CLZKZ,no,female,0,yes,yes,67,yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,yes,bank transfer (automatic),105.65,3.52,6717.9
0266-GMEAO,no,male,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),114.3,3.81,8058.55
0268-QKIWO,yes,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,electronic check,19.75,0.66,58.85
0269-XFESX,no,male,0,yes,yes,23,yes,yes,no,no,no,no,no,no,no,one year,no,mailed check,24.35,0.81,538.5
0270-THENM,no,male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),69.85,2.33,5102.35
0274-JKUJR,no,male,0,yes,yes,7,no,no,dsl,yes,yes,yes,no,yes,yes,month-to-month,no,mailed check,58.85,1.96,465.7
0277-BKSQP,no,male,0,yes,yes,8,yes,no,dsl,no,no,no,no,yes,no,month-to-month,yes,electronic check,54.4,1.81,475.1
0277-ORXQS,no,male,0,yes,yes,66,no,no,dsl,no,no,no,yes,yes,yes,two year,no,bank transfer (automatic),50.55,1.68,3364.55
0278-YXOOG,yes,male,0,no,no,5,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,21.05,0.7,113.85
0280-XJGEX,yes,male,0,no,no,49,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),103.7,3.46,5036.3
0281-CNTZX,no,male,0,yes,no,63,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer (automatic),19.95,0.66,1234.8
0282-NVSJS,no,female,1,yes,yes,12,no,no,dsl,no,no,no,yes,no,no,month-to-month,yes,mailed check,29.3,0.98,355.9
0285-INHLN,no,male,0,yes,yes,27,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit card (automatic),54.75,1.82,1510.3
0289-IVARM,no,female,0,no,no,35,yes,no,dsl,yes,yes,yes,no,no,no,month-to-month,no,electronic check,60.55,2.02,1982.6
0292-WEGCH,no,female,0,yes,yes,54,yes,yes,dsl,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic check,86.2,2.87,4524.05
0295-PPHDO,yes,male,0,no,no,1,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,3.18,95.45
0295-QVKPB,no,male,0,no,no,5,yes,no,dsl,no,no,yes,yes,yes,no,month-to-month,yes,credit card (automatic),63.95,2.13,318.1
0297-RBCSG,no,male,0,no,no,19,yes,no,dsl,no,yes,no,yes,no,yes,one year,yes,bank transfer (automatic),65.35,2.18,1231.85
0298-XACET,no,male,0,yes,yes,52,no,no,dsl,no,yes,yes,yes,yes,no,two year,no,mailed check,50.2,1.67,2554.0
0301-FIDRB,no,female,0,yes,yes,72,no,no,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),63.8,2.13,4684.3
